time,voltage
2022-12-23 14:04:39,3.014371
2022-12-23 14:05:09,3.202844
2022-12-23 14:05:39,3.305355
2022-12-23 14:06:09,3.377015
2022-12-23 14:06:40,3.432222
2022-12-23 14:07:10,3.476943
2022-12-23 14:07:40,3.5137
2022-12-23 14:08:10,3.53837
2022-12-23 14:08:40,3.5504
2022-12-23 14:09:10,3.559244
2022-12-23 14:09:40,3.56765
2022-12-23 14:10:10,3.576128
2022-12-23 14:10:41,3.584373
2022-12-23 14:11:11,3.592335
2022-12-23 14:11:41,3.600094
2022-12-23 14:12:11,3.607576
2022-12-23 14:12:41,3.614821
2022-12-23 14:13:11,3.621968
2022-12-23 14:13:41,3.62908
2022-12-23 14:14:11,3.636129
2022-12-23 14:14:42,3.643023
2022-12-23 14:15:12,3.649606
2022-12-23 14:15:42,3.655692
2022-12-23 14:16:12,3.661268
2022-12-23 14:16:42,3.666408
2022-12-23 14:17:12,3.671248
2022-12-23 14:17:42,3.675881
2022-12-23 14:18:12,3.680422
2022-12-23 14:18:43,3.684909
2022-12-23 14:19:13,3.689342
2022-12-23 14:19:43,3.693748
2022-12-23 14:20:13,3.698125
2022-12-23 14:20:43,3.70251
2022-12-23 14:21:13,3.706905
2022-12-23 14:21:43,3.711204
2022-12-23 14:22:13,3.715449
2022-12-23 14:22:44,3.719588
2022-12-23 14:23:14,3.72365
2022-12-23 14:23:44,3.727647
2022-12-23 14:24:14,3.731646
2022-12-23 14:24:44,3.735624
2022-12-23 14:25:14,3.739628
2022-12-23 14:25:44,3.743637
2022-12-23 14:26:14,3.747654
2022-12-23 14:26:45,3.751713
2022-12-23 14:27:15,3.755806
2022-12-23 14:27:45,3.75992
2022-12-23 14:28:15,3.764133
2022-12-23 14:28:45,3.768381
2022-12-23 14:29:15,3.772688
2022-12-23 14:29:45,3.777065
2022-12-23 14:30:15,3.781507
2022-12-23 14:30:46,3.786051
2022-12-23 14:31:16,3.790682
2022-12-23 14:31:46,3.795375
2022-12-23 14:32:16,3.800185
2022-12-23 14:32:46,3.80509
2022-12-23 14:33:16,3.810099
2022-12-23 14:33:46,3.815256
2022-12-23 14:34:17,3.820527
2022-12-23 14:34:47,3.825954
2022-12-23 14:35:17,3.831472
2022-12-23 14:35:47,3.83718
2022-12-23 14:36:17,3.843059
2022-12-23 14:36:47,3.849154
2022-12-23 14:37:17,3.855443
2022-12-23 14:37:47,3.8619
2022-12-23 14:38:18,3.868554
2022-12-23 14:38:48,3.875296
2022-12-23 14:39:18,3.882116
2022-12-23 14:39:48,3.88905
2022-12-23 14:40:18,3.896061
2022-12-23 14:40:48,3.903241
2022-12-23 14:41:18,3.910586
2022-12-23 14:41:48,3.918052
2022-12-23 14:42:19,3.925681
2022-12-23 14:42:49,3.933428
2022-12-23 14:43:19,3.941299
2022-12-23 14:43:49,3.949291
2022-12-23 14:44:19,3.957358
2022-12-23 14:44:49,3.965499
2022-12-23 14:45:19,3.973724
2022-12-23 14:45:49,3.981982
2022-12-23 14:46:20,3.990275
2022-12-23 14:46:50,3.998595
2022-12-23 14:47:20,4.006879
2022-12-23 14:47:50,4.015103
2022-12-23 14:48:20,4.023263
2022-12-23 14:48:50,4.031367
2022-12-23 14:49:20,4.039398
2022-12-23 14:49:50,4.047359
2022-12-23 14:50:21,4.055248
2022-12-23 14:50:51,4.063094
2022-12-23 14:51:21,4.07087
2022-12-23 14:51:51,4.078637
2022-12-23 14:52:21,4.086328
2022-12-23 14:52:51,4.094034
2022-12-23 14:53:21,4.101748
2022-12-23 14:53:51,4.109441
2022-12-23 14:54:22,4.117154
2022-12-23 14:54:52,4.124841
2022-12-23 14:55:22,4.132568
2022-12-23 14:55:52,4.140389
2022-12-23 14:56:22,4.148241
2022-12-23 14:56:52,4.156109
2022-12-23 14:57:22,4.16408
2022-12-23 14:57:52,4.172122
2022-12-23 14:58:23,4.177427
2022-12-23 14:58:53,4.18138
2022-12-23 14:59:23,4.186709
2022-12-23 14:59:53,4.193205
2022-12-23 15:00:23,4.200174
