time,current
2022-12-23 15:02:26.323633,0.01999432
2022-12-23 15:02:56.432626,0.01168248
2022-12-23 15:03:26.541322,0.009315756
2022-12-23 15:03:56.695824,0.008101837
2022-12-23 15:04:26.802943,0.00754359
2022-12-23 15:04:56.909429,0.006984475
2022-12-23 15:05:27.010759,0.006658957
2022-12-23 15:05:57.124900,0.00632262
2022-12-23 15:06:27.222934,0.005942946
2022-12-23 15:06:57.335432,0.00560256
2022-12-23 15:07:27.457671,0.005364914
2022-12-23 15:07:57.565451,0.005109845
2022-12-23 15:08:27.679322,0.004969484
2022-12-23 15:08:57.799623,0.004582696
2022-12-23 15:09:27.902456,0.004497345
2022-12-23 15:09:58.010907,0.004306534
2022-12-23 15:10:28.116584,0.004084517
2022-12-23 15:10:58.226899,0.003765512
2022-12-23 15:11:28.327923,0.003533776
2022-12-23 15:11:58.438647,0.003640126
2022-12-23 15:12:28.557906,0.003545964
2022-12-23 15:12:58.670243,0.003416
2022-12-23 15:13:28.766394,0.003298859
2022-12-23 15:13:58.884328,0.00318917
2022-12-23 15:14:29.002416,0.003095238
2022-12-23 15:14:59.110844,0.002978841
2022-12-23 15:15:29.222836,0.002875015
2022-12-23 15:15:59.331182,0.002792339
2022-12-23 15:16:29.450508,0.002567087
2022-12-23 15:16:59.563052,0.002591284
2022-12-23 15:17:29.671854,0.002498504
2022-12-23 15:17:59.764088,0.00244695
2022-12-23 15:18:29.876899,0.002353394
2022-12-23 15:18:59.976240,0.002303155
2022-12-23 15:19:30.090625,0.002189775
2022-12-23 15:20:00.208141,0.002076901
2022-12-23 15:20:30.323940,0.002026472
2022-12-23 15:21:00.423261,0.001979334
2022-12-23 15:21:30.536427,0.001943296
2022-12-23 15:22:00.639973,0.00190193
2022-12-23 15:22:30.739940,0.001869361
2022-12-23 15:23:00.840920,0.00178725
2022-12-23 15:23:30.942166,0.001623016
2022-12-23 15:24:01.053130,0.001626242
2022-12-23 15:24:31.160202,0.001591456
2022-12-23 15:25:01.264244,0.001542749
2022-12-23 15:25:31.376064,0.00152309
2022-12-23 15:26:01.482029,0.001463361
2022-12-23 15:26:31.596027,0.001413621
2022-12-23 15:27:01.703890,0.001377565
2022-12-23 15:27:31.815939,0.001320628
2022-12-23 15:28:01.920713,0.001228973
2022-12-23 15:28:32.030470,0.001185001
2022-12-23 15:29:02.129321,0.001123623
2022-12-23 15:29:32.235083,0.001026011
2022-12-23 15:30:02.331265,0.001008185
2022-12-23 15:30:32.445796,0.0005560211
2022-12-23 15:31:02.593007,0.0009536071
2022-12-23 15:31:32.704823,0.0007660388
2022-12-23 15:32:02.818609,0.0007572789
2022-12-23 15:32:32.933284,0.0007812839
2022-12-23 15:33:03.041983,0.000770058
2022-12-23 15:33:33.141863,0.0007565304
2022-12-23 15:34:03.263441,0.0007327158
2022-12-23 15:34:33.373969,0.0007126834
2022-12-23 15:35:03.480195,0.0006951814
2022-12-23 15:35:33.584604,0.000672485
2022-12-23 15:36:03.693018,0.0006501892
2022-12-23 15:36:33.805096,0.0006254946
2022-12-23 15:37:03.914290,0.0006019418
2022-12-23 15:37:34.022359,0.0005765043
2022-12-23 15:38:04.128250,0.0005510065
2022-12-23 15:38:34.247664,0.0005371181
2022-12-23 15:39:04.353949,0.0005235507
2022-12-23 15:39:34.473210,0.0005091279
2022-12-23 15:40:04.577034,0.0005021162
2022-12-23 15:40:34.688426,0.0004919509
2022-12-23 15:41:04.804349,0.0004629951
2022-12-23 15:41:34.903206,0.0004507336
2022-12-23 15:42:05.013956,0.0004416053
2022-12-23 15:42:35.112641,0.0004315103
2022-12-23 15:43:05.222897,0.0004238305
2022-12-23 15:43:35.321316,0.0004146807
2022-12-23 15:44:05.437307,0.0004033177
2022-12-23 15:44:35.551794,0.0003964686
2022-12-23 15:45:05.653861,0.0003874868
2022-12-23 15:45:35.763382,0.0003651408
2022-12-23 15:46:05.874964,0.0003685095
2022-12-23 15:46:35.979967,0.000360321
2022-12-23 15:47:06.086018,0.0003555677
2022-12-23 15:47:36.198458,0.0003459466
2022-12-23 15:48:06.311045,0.000333755
2022-12-23 15:48:36.421398,0.0003330383
2022-12-23 15:49:06.543018,0.000323269
2022-12-23 15:49:36.665253,0.0003159358
2022-12-23 15:50:06.779119,0.0003110072
2022-12-23 15:50:36.890363,0.0003058263
2022-12-23 15:51:07.002104,0.0002981026
