time,voltage
2022-12-22 13:03:55.090159,4.182107
2022-12-22 13:04:25.240538,4.179587
2022-12-22 13:04:55.384764,4.178155
2022-12-22 13:05:25.541213,4.176981
2022-12-22 13:05:55.695887,4.175951
2022-12-22 13:06:25.855238,4.175014
2022-12-22 13:06:56.001159,4.174127
2022-12-22 13:07:26.155473,4.173307
2022-12-22 13:07:56.310538,4.172477
2022-12-22 13:08:26.489067,4.171706
2022-12-22 13:08:56.646614,4.170946
2022-12-22 13:09:26.800000,4.170214
2022-12-22 13:09:56.925620,4.169471
2022-12-22 13:10:27.048343,4.16877
2022-12-22 13:10:57.172198,4.168059
2022-12-22 13:11:27.297750,4.167349
2022-12-22 13:11:57.428514,4.166664
2022-12-22 13:12:27.553913,4.165992
2022-12-22 13:12:57.675704,4.165333
2022-12-22 13:13:27.802150,4.164652
2022-12-22 13:13:57.939077,4.163986
2022-12-22 13:14:28.067970,4.163329
2022-12-22 13:14:58.187049,4.1627
2022-12-22 13:15:28.311218,4.162065
2022-12-22 13:15:58.430169,4.161421
2022-12-22 13:16:28.557893,4.160793
2022-12-22 13:16:58.680438,4.160189
2022-12-22 13:17:28.807721,4.15959
2022-12-22 13:17:58.932512,4.158946
2022-12-22 13:18:29.060200,4.158367
2022-12-22 13:18:59.186024,4.157787
2022-12-22 13:19:29.317822,4.15718
2022-12-22 13:19:59.439369,4.156606
2022-12-22 13:20:29.557837,4.156006
2022-12-22 13:20:59.682840,4.155424
2022-12-22 13:21:29.819603,4.154873
2022-12-22 13:21:59.960313,4.154295
2022-12-22 13:22:30.084583,4.153719
2022-12-22 13:23:00.202341,4.153145
2022-12-22 13:23:30.322462,4.15257
2022-12-22 13:24:00.453095,4.152008
2022-12-22 13:24:30.577021,4.151465
2022-12-22 13:25:00.705648,4.150902
2022-12-22 13:25:30.834946,4.150343
2022-12-22 13:26:00.957685,4.149795
2022-12-22 13:26:31.085565,4.149248
2022-12-22 13:27:01.195529,4.14871
2022-12-22 13:27:31.325696,4.148166
2022-12-22 13:28:01.441099,4.147626
2022-12-22 13:28:31.563833,4.147085
2022-12-22 13:29:01.692283,4.146546
2022-12-22 13:29:31.825735,4.146013
2022-12-22 13:30:01.950940,4.145473
2022-12-22 13:30:32.079074,4.144942
2022-12-22 13:31:02.204610,4.14439
2022-12-22 13:31:32.343032,4.143878
2022-12-22 13:32:02.493212,4.143371
2022-12-22 13:32:32.613803,4.14284
2022-12-22 13:33:02.724950,4.142321
2022-12-22 13:33:32.847946,4.141795
2022-12-22 13:34:02.978070,4.141289
2022-12-22 13:34:33.100936,4.140769
2022-12-22 13:35:03.228180,4.140244
2022-12-22 13:35:33.354710,4.13975
2022-12-22 13:36:03.487092,4.139241
2022-12-22 13:36:33.599429,4.138735
2022-12-22 13:37:03.727576,4.13824
2022-12-22 13:37:33.857065,4.137755
2022-12-22 13:38:03.983997,4.13724
2022-12-22 13:38:34.091785,4.136732
2022-12-22 13:39:04.217601,4.136251
2022-12-22 13:39:34.343034,4.135742
2022-12-22 13:40:04.457283,4.135239
2022-12-22 13:40:34.578363,4.134767
2022-12-22 13:41:04.707832,4.134277
2022-12-22 13:41:34.834387,4.133782
2022-12-22 13:42:04.965232,4.133317
2022-12-22 13:42:35.080369,4.13282
2022-12-22 13:43:05.203324,4.132335
2022-12-22 13:43:35.328661,4.131849
2022-12-22 13:44:05.466395,4.131352
2022-12-22 13:44:35.601408,4.13087
2022-12-22 13:45:05.727554,4.130406
2022-12-22 13:45:35.862311,4.129917
2022-12-22 13:46:05.993587,4.12941
2022-12-22 13:46:36.122896,4.128945
2022-12-22 13:47:06.245457,4.128476
2022-12-22 13:47:36.364363,4.127991
2022-12-22 13:48:06.482380,4.127502
2022-12-22 13:48:36.616292,4.127025
2022-12-22 13:49:06.742311,4.126576
2022-12-22 13:49:36.859357,4.126104
2022-12-22 13:50:06.991378,4.12562
2022-12-22 13:50:37.120704,4.125137
2022-12-22 13:51:07.244004,4.124681
2022-12-22 13:51:37.356567,4.124215
2022-12-22 13:52:07.485329,4.123727
2022-12-22 13:52:37.596752,4.123293
2022-12-22 13:53:07.719803,4.122834
2022-12-22 13:53:37.842211,4.122377
2022-12-22 13:54:07.971045,4.121937
2022-12-22 13:54:38.107017,4.12146
2022-12-22 13:55:08.241580,4.120997
2022-12-22 13:55:38.376809,4.12055
2022-12-22 13:56:08.515579,4.120085
2022-12-22 13:56:38.643093,4.119624
2022-12-22 13:57:08.772410,4.119176
2022-12-22 13:57:38.900902,4.118743
2022-12-22 13:58:09.036138,4.118276
2022-12-22 13:58:39.158696,4.1178
2022-12-22 13:59:09.284375,4.117379
2022-12-22 13:59:39.400059,4.116915
2022-12-22 14:00:09.518054,4.116461
2022-12-22 14:00:39.651846,4.116032
2022-12-22 14:01:09.784325,4.115579
2022-12-22 14:01:39.905096,4.115107
2022-12-22 14:02:10.019286,4.114673
2022-12-22 14:02:40.149031,4.114241
2022-12-22 14:03:10.261970,4.113801
2022-12-22 14:03:40.387709,4.113352
2022-12-22 14:04:10.505889,4.112909
2022-12-22 14:04:40.629937,4.112474
2022-12-22 14:05:10.749437,4.11205
2022-12-22 14:05:40.877966,4.111598
2022-12-22 14:06:11.010236,4.111165
2022-12-22 14:06:41.138027,4.11072
2022-12-22 14:07:11.272953,4.110287
2022-12-22 14:07:41.399736,4.109831
2022-12-22 14:08:11.532274,4.109435
2022-12-22 14:08:41.664938,4.10899
2022-12-22 14:09:11.796536,4.108547
2022-12-22 14:09:41.927281,4.108118
2022-12-22 14:10:12.048995,4.107692
2022-12-22 14:10:42.178969,4.107235
2022-12-22 14:11:12.309074,4.106822
2022-12-22 14:11:42.436390,4.10638
2022-12-22 14:12:12.565200,4.105956
2022-12-22 14:12:42.689080,4.105517
2022-12-22 14:13:12.824950,4.10509
2022-12-22 14:13:42.955198,4.104674
2022-12-22 14:14:13.084904,4.104222
2022-12-22 14:14:43.207319,4.103789
2022-12-22 14:15:13.328681,4.103393
2022-12-22 14:15:43.461070,4.102956
2022-12-22 14:16:13.599355,4.102535
2022-12-22 14:16:43.728807,4.102106
2022-12-22 14:17:13.852264,4.101675
2022-12-22 14:17:43.988523,4.101255
2022-12-22 14:18:14.117240,4.100837
2022-12-22 14:18:44.239160,4.100418
2022-12-22 14:19:14.366766,4.099998
2022-12-22 14:19:44.486586,4.099597
2022-12-22 14:20:14.613151,4.099187
2022-12-22 14:20:44.744642,4.098764
